Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
19/02/2021 15:12:23,MA,BUY,0.1,333.90,33.39,USD,1.2124924509
19/02/2021 16:09:15,TIGR,SELL,5,36.97,184.85,USD,1.2132298575
19/02/2021 16:15:06,TIGR,BUY,1,36.50,36.50,USD,1.2132976111
19/02/2021 17:35:27,REGI,BUY,0.5,97.02,48.51,USD,1.2131025725
19/02/2021 17:40:25,TIGR,BUY,1,36.00,36.00,USD,1.2129392797
19/02/2021 17:42:28,TIGR,BUY,1,35.50,35.50,USD,1.212802510
19/02/2021 19:16:40,TSLA,BUY,0.1,782.80,78.28,USD,1.2116660590
19/02/2021 19:17:41,FB,BUY,0.2,261.90,52.38,USD,1.2116616555
19/02/2021 19:22:27,BIDU,BUY,0.1,321.00,32.10,USD,1.2116422830
19/02/2021 19:54:43,TIGR,BUY,1,35.00,35.00,USD,1.2117754230
19/02/2021 20:52:01,XPEV,BUY,0.5,40.86,20.43,USD,1.2120287242
20/02/2021 12:51:13,,CASH TOP-UP,,,100.00,USD,1.2245392823
22/02/2021 14:41:06,PYPL,BUY,0.2,282.60,56.52,USD,1.2139427443
22/02/2021 14:42:13,TIGR,BUY,1,33.71,33.71,USD,1.2140777671
22/02/2021 16:06:41,TME,BUY,0.5,24.92,12.46,USD,1.2146028726
22/02/2021 16:07:39,,CASH TOP-UP,,,100.00,USD,1.2145478616
22/02/2021 16:08:04,TIGR,BUY,1,30.89,30.89,USD,1.2147429071
22/02/2021 16:22:07,AAPL,BUY,0.5,126.76,63.38,USD,1.2147129502
22/02/2021 17:40:48,MRNA,SELL,0.3,162.47,48.74,USD,1.2169433465
22/02/2021 17:44:33,BILI,BUY,0.07777777,133.46,10.38,USD,1.216711400
22/02/2021 17:45:20,BILI,BUY,0.08888889,133.54,11.87,USD,1.2168660894
22/02/2021 20:02:22,BKNG,BUY,0.001,2370.00,2.37,USD,1.2167433029
22/02/2021 20:03:52,FVRR,SELL,0.31109579,280.01,87.11,USD,1.2166382791
22/02/2021 20:25:51,GME,BUY,1.5,45.68,68.52,USD,1.2159001120
22/02/2021 20:37:11,SPWR,BUY,1,33.00,33.00,USD,1.2159031322
23/02/2021 15:07:12,TSLA,SELL,0.6,661.62,396.97,USD,1.2142778071
23/02/2021 15:07:56,GOOGL,BUY,0.19,2014.74,382.80,USD,1.2143485929
23/02/2021 15:09:24,PLUG,SELL,2,43.52,87.04,USD,1.2148679252
23/02/2021 15:11:48,GOOGL,BUY,0.05,2020.00,101.00,USD,1.2154930503
23/02/2021 15:12:45,TIGR,SELL,3,27.02,81.05,USD,1.2158831295
23/02/2021 15:13:32,GME,SELL,1.5,43.07,64.61,USD,1.2156688306
23/02/2021 15:13:46,MSFT,BUY,0.5,231.78,115.89,USD,1.2155380592
23/02/2021 15:14:18,ENPH,SELL,0.7,159.00,111.30,USD,1.2151779871
23/02/2021 15:17:23,AMZN,BUY,0.01213,3128.61,37.95,USD,1.2151529822
23/02/2021 15:18:49,SPWR,SELL,2,31.56,63.12,USD,1.2148670473
23/02/2021 15:19:09,XPEV,SELL,2.5,35.08,87.69,USD,1.2150183158
23/02/2021 15:20:37,BLK,BUY,0.1,691.70,69.17,USD,1.2148429315
23/02/2021 15:21:12,BILI,SELL,0.49999999,122.88,61.44,USD,1.2149329381
23/02/2021 15:22:09,NVDA,BUY,0.2,550.45,110.09,USD,1.2150242198
23/02/2021 15:22:48,PYPL,BUY,0.3,263.80,79.14,USD,1.2150279571
23/02/2021 15:23:47,BABA,BUY,0.1,248.30,24.83,USD,1.2151979911
23/02/2021 15:27:41,REGI,SELL,1.5,91.04,136.56,USD,1.2158269496
23/02/2021 15:28:05,FB,BUY,0.3,264.93,79.48,USD,1.2157030935
23/02/2021 15:28:33,AMZN,BUY,0.02,3151.50,63.03,USD,1.2157781071
23/02/2021 15:29:06,XPEV,SELL,1,35.69,35.69,USD,1.2156830885
23/02/2021 15:29:57,TSLA,BUY,0.1,691.70,69.17,USD,1.2160431651
23/02/2021 15:31:32,BILI,SELL,0.5,124.22,62.11,USD,1.2163432206
23/02/2021 15:33:14,NVAX,SELL,0.2,228.55,45.71,USD,1.2161331795
23/02/2021 15:33:27,MRNA,SELL,0.2,143.65,28.73,USD,1.2160731670
23/02/2021 15:34:10,PYPL,BUY,0.5,264.10,132.05,USD,1.2162682051
23/02/2021 15:34:28,ROKU,SELL,0.2,410.35,82.07,USD,1.2162932114
23/02/2021 15:34:51,XPEV,SELL,1,35.31,35.31,USD,1.2163432206
23/02/2021 15:35:51,AAPL,BUY,0.5,122.72,61.36,USD,1.2168483211
23/02/2021 15:40:49,JD,BUY,0.61339897,96.43,59.15,USD,1.2162932114
23/02/2021 17:43:59,PLUG,SELL,3,44.75,134.25,USD,1.2145628641
23/02/2021 17:46:06,TSLA,SELL,0.2,671.65,134.33,USD,1.2147829090
23/02/2021 18:02:56,KO,BUY,5,50.87,254.35,USD,1.2148929308
23/02/2021 18:06:00,REGI,SELL,0.5,90.40,45.20,USD,1.2149479411
23/02/2021 18:08:52,BIDU,SELL,0.1,307.50,30.75,USD,1.2148579231
23/02/2021 18:11:24,GOOGL,BUY,0.05,2027.60,101.38,USD,1.2149929504
24/02/2021 23:23:35,,CASH TOP-UP,,,100.00,USD,1.2170133551
25/02/2021 14:30:20,KO,SELL,1,50.39,50.39,USD,1.222761605
25/02/2021 14:30:27,AAPL,SELL,1,124.30,124.30,USD,1.2226696788
25/02/2021 14:30:45,GOOGL,SELL,0.05,2065.60,103.28,USD,1.2222944115
25/02/2021 14:39:19,BB,BUY,5,11.73,58.65,USD,1.2229694240
25/02/2021 14:39:33,GME,BUY,2,149.03,298.06,USD,1.2231695852
25/02/2021 14:41:00,GME,SELL,2,133.00,266.00,USD,1.2234346563
25/02/2021 14:44:09,BB,SELL,5,11.26,56.30,USD,1.2238747310
25/02/2021 15:02:49,GME,BUY,2,114.76,229.52,USD,1.2239547434
25/02/2021 16:43:48,BKNG,BUY,0.049,2304.69,112.93,USD,1.2225157521
25/02/2021 17:34:13,REGI,SELL,0.5,87.24,43.62,USD,1.2232145943
25/02/2021 17:34:54,NIO,SELL,1,48.20,48.20,USD,1.2231945912
25/02/2021 17:35:50,TSLA,SELL,0.1,693.00,69.30,USD,1.223184589
25/02/2021 17:37:17,AMZN,BUY,0.05,3104.80,155.24,USD,1.2230945706
25/02/2021 17:39:05,SQ,SELL,0.23857442,231.29,55.18,USD,1.2228445166
25/02/2021 17:39:52,SPWR,SELL,1,35.47,35.47,USD,1.2228145146
25/02/2021 17:40:19,TIGR,SELL,1,25.71,25.71,USD,1.2226442707
25/02/2021 17:48:36,PYPL,BUY,0.4,254.80,101.92,USD,1.2230945706
26/02/2021 20:31:08,TIGR,SELL,2,23.78,47.57,USD,1.2077415008
26/02/2021 20:32:07,PLUG,SELL,1,48.23,48.23,USD,1.2078615253
26/02/2021 20:32:34,GME,BUY,1,109.87,109.87,USD,1.2078215439
01/03/2021 05:30:45,,CUSTODY_FEE,,,-0.07,USD,1.2084045123
02/03/2021 00:40:35,,CASH TOP-UP,,,200.00,USD,1.2049534426
02/03/2021 05:24:40,V,DIVIDEND,,,0.43,USD,1.2021253772
02/03/2021 14:32:04,RKT,BUY,7,27.89,195.23,USD,1.2047759071
02/03/2021 14:42:48,RKT,SELL,7,28.60,200.21,USD,1.2040767181
02/03/2021 18:14:14,RKT,BUY,5,34.46,172.28,USD,1.2088567224
03/03/2021 14:34:14,RKT,SELL,5,36.86,184.30,USD,1.2059516764
03/03/2021 14:52:21,FVRR,SELL,0.1,260.00,26.00,USD,1.2059911504
03/03/2021 14:52:39,MSFT,BUY,1,231.46,231.46,USD,1.2060711674
03/03/2021 17:18:58,TIGR,SELL,3,21.93,65.79,USD,1.2069725409
03/03/2021 17:19:54,BKNG,BUY,0.03,2307.33,69.22,USD,1.2070913707
03/03/2021 18:02:03,PLUG,SELL,2,46.58,93.16,USD,1.2073164151
03/03/2021 18:03:10,GOOGL,BUY,0.05,2029.00,101.45,USD,1.2072914114
03/03/2021 18:03:52,TSLA,SELL,0.1,677.50,67.75,USD,1.2072414107
03/03/2021 18:04:24,NIO,SELL,1,42.80,42.80,USD,1.2072414005
03/03/2021 18:04:46,SPWR,SELL,2,33.59,67.18,USD,1.2073264172
03/03/2021 18:05:12,REGI,SELL,0.5,78.14,39.07,USD,1.2073164151
03/03/2021 18:05:33,ENPH,SELL,0.5,165.12,82.56,USD,1.2073921562
03/03/2021 18:06:19,AMZN,BUY,0.05,3034.80,151.74,USD,1.2074414472
03/03/2021 18:06:55,FB,BUY,0.5,256.38,128.19,USD,1.2074614443
04/03/2021 15:28:28,GME,SELL,1,119.58,119.58,USD,1.2030755671
04/03/2021 15:30:14,NVDA,SELL,0.1,503.30,50.33,USD,1.2031005726
04/03/2021 15:42:51,DIS,BUY,1,189.23,189.23,USD,1.2034456418
05/03/2021 15:06:20,SHOP,SELL,0.06,1108.33,66.50,USD,1.1919843644
05/03/2021 15:06:49,PYPL,BUY,0.3,233.37,70.01,USD,1.1921335400
05/03/2021 15:28:43,PYPL,SELL,0.7,228.99,160.29,USD,1.1923438700
05/03/2021 15:29:40,MRO,BUY,4,12.78,51.12,USD,1.1926384867
05/03/2021 15:30:02,XOM,BUY,1,59.87,59.87,USD,1.1922834091
05/03/2021 15:30:23,CVX,BUY,0.5,107.56,53.78,USD,1.1921433812
05/03/2021 15:33:10,SQ,SELL,0.2,200.00,40.00,USD,1.1922684070
05/03/2021 15:34:17,JD,SELL,1,87.75,87.75,USD,1.1921808890
05/03/2021 15:34:59,FVRR,SELL,0.1,203.20,20.32,USD,1.1923484231
05/03/2021 15:37:09,FVRR,SELL,0.3,205.57,61.67,USD,1.1926384867
05/03/2021 15:37:26,NIO,SELL,2,34.12,68.25,USD,1.1923884310
05/03/2021 15:37:43,TIGR,SELL,2,18.23,36.46,USD,1.1922834091
05/03/2021 15:38:04,ENPH,SELL,0.5,135.08,67.54,USD,1.1922484025
05/03/2021 15:38:18,XPEV,SELL,2,26.35,52.70,USD,1.1922183963
05/03/2021 15:38:35,SPWR,SELL,2,28.68,57.36,USD,1.192498452
05/03/2021 15:39:05,REGI,SELL,1,69.23,69.23,USD,1.1922962550
05/03/2021 15:39:21,BILI,SELL,0.5,114.58,57.29,USD,1.1922934112
05/03/2021 15:39:39,ROKU,SELL,0.1,335.30,33.53,USD,1.1922358534
05/03/2021 15:40:16,PLUG,SELL,1,34.89,34.89,USD,1.1922067207
05/03/2021 15:40:28,SQ,SELL,0.4,200.78,80.31,USD,1.1923484231
05/03/2021 15:40:47,TEAM,SELL,0.5,223.68,111.84,USD,1.1921933911
05/03/2021 15:41:05,TME,SELL,0.5,24.00,12.00,USD,1.1920483632
05/03/2021 15:41:44,TSLA,SELL,0.2,572.40,114.48,USD,1.1919883512
05/03/2021 15:42:18,BKNG,BUY,0.02,2228.00,44.56,USD,1.1916052001
05/03/2021 17:45:39,PYPL,SELL,1,237.00,237.00,USD,1.1913632251
05/03/2021 17:49:58,PYPL,BUY,1,236.63,236.63,USD,1.1914682460
08/03/2021 18:57:27,GME,SELL,2,173.29,346.58,USD,1.1857371098
11/03/2021 14:48:38,AAPL,BUY,1,122.03,122.03,USD,1.1950
11/03/2021 14:50:28,MSFT,BUY,1,235.54,235.54,USD,1.1950
11/03/2021 14:51:08,V,BUY,0.2,224.85,44.97,USD,1.1950
11/03/2021 14:51:29,MA,BUY,0.1,384.90,38.49,USD,1.1950
11/03/2021 14:52:29,MA,BUY,0.1,385.20,38.52,USD,1.1950
11/03/2021 14:53:07,V,BUY,0.2,225.35,45.07,USD,1.1950
11/03/2021 14:58:09,GS,BUY,1,342.70,342.70,USD,1.1950
11/03/2021 14:58:49,JPM,BUY,2,155.36,310.72,USD,1.1950
11/03/2021 17:21:58,PYPL,BUY,0.5,254.06,127.03,USD,1.1950
12/03/2021 05:23:26,MSFT,DIVIDEND,,,0.71,USD,1.1955
16/03/2021 14:50:20,XOM,SELL,1,59.03,59.03,USD,1.1909
