Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-02-02T17:16:14.444231Z,AMC,SELL - MARKET,2,$8.04,$16.07,USD,1.2025
2021-02-02T17:16:54.741439Z,AG,BUY - MARKET,3,$17.40,$52.20,USD,1.2024
2021-02-03T14:32:20.563947Z,ROKU,BUY - MARKET,0.47041113,$425.16,$200,USD,1.2028
2021-02-03T22:23:27.178607Z,,CASH TOP-UP,,,"$1,000",USD,1.2035
2021-02-04T14:31:11.138237Z,BILI,BUY - MARKET,1.33333333,$150,$200,USD,1.1988
2021-02-04T14:31:15.829803Z,TIGR,BUY - MARKET,8.23384108,$24.29,$200,USD,1.1988
2021-02-04T14:31:34.186185Z,AMD,BUY - MARKET,2.2652622,$88.29,$200,USD,1.1987
2021-02-04T14:32:49.023925Z,FVRR,BUY - MARKET,0.81109579,$246.58,$200,USD,1.1988
2021-02-05T14:30:40.038869Z,SPWRQ,SELL - MARKET,2,$40.27,$80.53,USD,1.202
2021-02-05T14:32:35.246852Z,XYZ,BUY - MARKET,0.83857442,$238.50,$200,USD,1.2018
2021-02-05T16:33:47.983793Z,SPWRQ,BUY - MARKET,2,$42.35,$84.70,USD,1.2029
2021-02-08T14:42:31.492015Z,BB,SELL - MARKET,5,$14.18,$70.89,USD,1.2066
2021-02-09T14:40:38.739633Z,AMC,SELL - MARKET,8,$5.56,$44.47,USD,1.2096
2021-02-09T14:40:57.661393Z,AG,SELL - MARKET,12,$16.83,$201.96,USD,1.2097
2021-02-09T14:43:44.102747Z,GOOGL,BUY - MARKET,0.04793542,"$2,086.14",$100,USD,1.2098
2021-02-09T17:44:58.104531Z,TXMD,BUY - MARKET,80,$2.51,$200.79,USD,1.2112
2021-02-09T17:48:02.591988Z,,CASH TOP-UP,,,$200,USD,1.211
2021-02-09T17:49:23.795731Z,XPEV,BUY - MARKET,4.5,$46.34,$208.53,USD,1.2111
2021-02-09T18:34:06.192668Z,TSLA,SELL - MARKET,0.16211582,$844.70,$136.93,USD,1.2106
2021-02-09T18:37:45.508936Z,TSLA,SELL - MARKET,0.16211583,$844.64,$136.92,USD,1.2106
2021-02-09T18:40:08.392941Z,V,SELL - MARKET,0.1172242,$207.30,$24.29,USD,1.2106
2021-02-09T18:40:52.129635Z,MA,SELL - MARKET,0.29891065,$333.08,$99.55,USD,1.2107
2021-02-09T18:41:35.819635Z,V,SELL - MARKET,0.4,$207.15,$82.85,USD,1.2107
2021-02-09T18:43:42.564879Z,SHOP,SELL - MARKET,0.01006459,"$1,445.66",$14.54,USD,1.2107
2021-02-09T18:45:09.963506Z,AMD,SELL - MARKET,1.2652622,$90.98,$115.10,USD,1.2107
2021-02-09T18:52:27.009572Z,ENPH,SELL - MARKET,0.61603102,$199.70,$123.01,USD,1.2107
2021-02-09T18:54:35.138403Z,MSFT,SELL - MARKET,0.07227141,$243.25,$17.57,USD,1.2107
2021-02-09T18:55:08.148035Z,PLUG,SELL - MARKET,0.36929286,$69.16,$25.53,USD,1.2107
2021-02-09T19:00:10.685091Z,MRNA,SELL - MARKET,0.2,$177.85,$35.56,USD,1.2108
2021-02-09T19:00:58.177120Z,TIGR,SELL - MARKET,0.23384108,$28.27,$6.60,USD,1.2109
2021-02-09T19:02:26.534708Z,NVDA,SELL - MARKET,0.10129192,$572.70,$58,USD,1.211
2021-02-09T20:22:49.692190Z,TSLA,BUY - MARKET,0.5,$846.70,$423.35,USD,1.212
2021-02-10T06:34:48.581268Z,MA,DIVIDEND,,,$0.21,USD,1.2126
2021-02-10T15:31:05.352365Z,TSLA,BUY - MARKET,0.5,$814.26,$407.13,USD,1.2135
2021-02-10T15:36:37.020308Z,ROKU,SELL - MARKET,0.17041113,$457.83,$78.01,USD,1.2137
2021-02-10T15:36:51.618829Z,AAPL,BUY - MARKET,1,$135.59,$135.59,USD,1.2136
2021-02-10T15:38:08.138285Z,PLUG,BUY - MARKET,1,$64.60,$64.60,USD,1.2135
2021-02-10T17:12:45.795251Z,,CASH TOP-UP,,,$50,USD,1.2132
2021-02-10T17:13:50.293945Z,TXMD,BUY - MARKET,20,$2.14,$42.90,USD,1.2132
